cores,fraction,rows,train_rows,train_sec,accuracy,f1_weighted
local[1],0.25,1410,1166,13.3,0.7582,0.7374
local[1],0.5,2768,2261,9.6,0.7199,0.6873
local[1],0.75,4141,3368,10.2,0.7542,0.7235
local[1],1.0,5447,4402,10.5,0.7732,0.7363
local[2],0.25,1378,1141,7.5,0.7342,0.7011
local[2],0.5,2743,2233,8.0,0.7549,0.723
local[2],0.75,4128,3356,8.3,0.7513,0.7123
local[2],1.0,5447,4416,8.7,0.7701,0.7416
local[4],0.25,1371,1113,7.2,0.7403,0.7162
local[4],0.5,2747,2229,7.5,0.7857,0.766
local[4],0.75,4128,3348,7.8,0.759,0.728
local[4],1.0,5447,4404,8.0,0.7411,0.7096
